QUESTION_KEY,SURVEY_QUESTION_CD,SURVEY_QUESTION_TXT
koreanaaaaaaa_Q9_1,Q9_1,두 편의 광고 중[#Q8#]를 더 선호하는 이유는 무엇입니까?
koreanaaaaaaa_Q11_1,Q11_1,귀하께서[#Q10#]라고 느끼는 이유는 무엇입니까?
